ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
83,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,1,729,1351,58,890,5,5,401.5,161,130.5,5.800000191,7.900000095,9.600000381,7.766666889,165,,336250,0.791497529,6078.426758,203.8789063,1649.263306,55.31858826,62.71666718,71.46058655,80.77931213,100.4301224,0.033541393,0.25,9860000,4.1888E+12,5.4538E+12,75721383936,98588925952,7679.65332,9998.876953
84,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,1,1860,1351,58,890,5,5,401.5,161,130.5,5.800000191,7.900000095,9.600000381,7.766666889,165,11.5,348750,0.762016416,5859.434082,191.8523865,1817.803833,59.51940155,69.4916687,78.82460785,85.90679169,108.032959,0.032742478,0.25,9860000,4.5126E+12,5.5885E+12,75817287680,93893754880,7689.379883,9522.693359
85,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,1,1771,1351,58,890,5,5,401.5,161,130.5,5.800000191,7.900000095,9.600000381,7.766666889,165,11.5,361000,0.736277521,6126.146973,188.4111481,1916.022461,58.927742,75.8916626,84.8950882,90.0884552,110.8499451,0.030755246,0.25,9860000,4.8344E+12,5.6448E+12,82039455744,95791898624,8320.431641,9715.203125
86,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,1,2047,1351,58,890,5,5,401.5,161,134.5,5.800000191,7.900000095,9.600000381,7.766666889,167,11.5,339900,0.659091413,6559.178223,196.1013794,1733.287109,51.82051468,80.30833435,85.04786682,91.2555542,98.11595154,0.029897248,0.25,9860000,5.0849E+12,5.729E+12,98125234176,1.10555E+11,9951.849609,11212.44141
87,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,2147,1351,58,910,5,5,401.5,161,134.5,5.800000191,8,10,7.933333397,167,11.5,349900,0.649315238,7272.066406,208.723526,1676.380249,48.11562347,84.1166687,87.59421539,92.67410278,93.2513504,0.028702093,0.25,9870000,5.3187E+12,5.8643E+12,1.1054E+11,1.21879E+11,11199.59277,12348.46387
88,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,2087,1351,58,910,5,5,401.5,161,134.5,5.800000191,8,10,7.933333397,167,11.5,375000,0.652517855,7527.23291,212.9659576,1760.844849,49.81910324,88.3916626,90.70075226,93.75102234,94.78403473,0.028292727,0.25,9900000,5.6895E+12,6.1411E+12,1.14203E+11,1.23268E+11,11535.6748,12451.31152
89,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,1803,1351,63,910,5,5,401.5,161,134.5,5.699999809,7.800000191,10.30000019,7.933333397,172,10.30000019,413000,0.665632248,8282.115234,236.942276,1743.040527,49.8664856,93.91667175,96.01751709,96.66241455,101.0056305,0.028608907,0.25,9940000,6.1674E+12,6.3614E+12,1.23678E+11,1.27569E+11,12442.48047,12833.86816
90,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,2689,1351,63,940,5,5,407.5,161.5,135,7.800000191,7.800000191,7.800000191,7.800000191,176,10.30000019,421000,0.640389621,9353.320313,259.6181335,1621.612549,45.01075363,99.96666718,100,100,100,0.027756786,0.25,9970000,6.5544E+12,6.5544E+12,1.45619E+11,1.45619E+11,14605.6709,14605.6709
91,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,2880,1351,65,940,5,5,407.5,161.5,135,5.699999809,7.900000095,9.899999619,7.833333015,176,10.30000019,429500,0.624031484,9128.46875,251.6236267,1706.914429,47.05060959,106.25,103.3408051,103.2085495,98.95196533,0.027564716,0.25,9980000,6.8689E+12,6.6592E+12,1.4599E+11,1.41533E+11,14628.2168,14181.63379
92,1,1,5,1,alfa 33,alfa romeo,33,3,5,2,0,4,2849,1351,66,940,5,5,407.5,161.5,135,5.800000191,7.800000191,9.5,7.700000286,178,11.69999981,410602,0.570864379,9137.55957,228.4034729,1797.704712,44.9356308,111.7416687,105.296402,105.7164307,97.17373657,0.024996113,0.194999993,10050000,7.2286E+12,6.7586E+12,1.60866E+11,1.50406E+11,16006.53418,14965.7959
