date,USD,Pound,Yen,Euro
02/01/2018,3.4570,4.6883,3.0825,4.1702
03/01/2018,3.4600,4.6927,3.0827,4.1578
04/01/2018,3.4480,4.6719,3.0608,4.1598
05/01/2018,3.4460,4.6641,3.0446,4.1524
08/01/2018,3.4410,4.6589,3.0425,4.1242
09/01/2018,3.4440,4.6592,3.0571,4.1087
10/01/2018,3.4290,4.6385,3.0781,4.1139
11/01/2018,3.4230,4.6180,3.0639,4.1125
12/01/2018,3.4150,4.6268,3.0682,4.1198
15/01/2018,3.4000,4.6909,3.0732,4.1737
16/01/2018,3.4100,4.6911,3.0831,4.1706
17/01/2018,3.4520,4.7584,3.1159,4.2136
18/01/2018,3.4270,4.7565,3.0809,4.1986
19/01/2018,3.4060,4.7451,3.0801,4.1796
22/01/2018,3.4210,4.7544,3.0887,4.1901
23/01/2018,3.4220,4.7691,3.0972,4.1887
24/01/2018,3.4060,4.8053,3.1108,4.2032
25/01/2018,3.4030,4.8519,3.1259,4.2218
26/01/2018,3.3880,4.8267,3.1040,4.2171
29/01/2018,3.4090,4.7956,3.1371,4.2265
30/01/2018,3.3990,4.7919,3.1307,4.2215
31/01/2018,3.4050,4.8205,3.1306,4.2413
01/02/2018,3.4270,4.8709,3.1249,4.2629
02/02/2018,3.4300,4.8803,3.1238,4.2843
05/02/2018,3.4420,4.8348,3.1328,4.2819
06/02/2018,3.4850,4.8419,3.1903,4.3039
07/02/2018,3.4860,4.8460,3.1902,4.3015
08/02/2018,3.4990,4.8643,3.1916,4.2826
09/02/2018,3.5160,4.9070,3.2225,4.3158
12/02/2018,3.5240,4.8786,3.2444,4.3226
13/02/2018,3.5270,4.9040,3.2782,4.3526
14/02/2018,3.5330,4.8953,3.2889,4.3643
15/02/2018,3.5250,4.9598,3.3079,4.4009
16/02/2018,3.5350,4.9842,3.3348,4.4274
19/02/2018,3.5210,4.9373,3.3047,4.3710
20/02/2018,3.4980,4.8914,3.2658,4.3199
21/02/2018,3.5010,4.8715,3.2579,4.3132
22/02/2018,3.4970,4.8549,3.2577,4.2980
23/02/2018,3.4850,4.8717,3.2612,4.2931
26/02/2018,3.4940,4.9111,3.2753,4.3106
27/02/2018,3.4780,4.8416,3.2481,4.2801
28/02/2018,3.4850,4.8402,3.2534,4.2586
05/03/2018,3.4560,4.7729,3.2728,4.2509
06/03/2018,3.4690,4.8135,3.2659,4.2920
07/03/2018,3.4660,4.8050,3.2774,4.3014
08/03/2018,3.4590,4.7980,3.2604,4.2789
09/03/2018,3.4530,4.7682,3.2353,4.2521
12/03/2018,3.4400,4.7627,3.2281,4.2291
13/03/2018,3.4440,4.7858,3.2143,4.2507
14/03/2018,3.4310,4.7924,3.2200,4.2455
15/03/2018,3.4340,4.7852,3.2398,4.2423
16/03/2018,3.4520,4.8220,3.2657,4.2543
19/03/2018,3.4680,4.8754,3.2651,4.2680
20/03/2018,3.4790,4.8757,3.2675,4.2803
21/03/2018,3.4950,4.9119,3.2901,4.2916
22/03/2018,3.4800,4.9254,3.2999,4.2885
23/03/2018,3.4910,4.9244,3.3221,4.3025
26/03/2018,3.4910,4.9663,3.3214,4.3329
27/03/2018,3.4870,4.9202,3.2976,4.3258
28/03/2018,3.4990,4.9505,3.3074,4.3365
29/03/2018,3.5140,4.9442,3.2990,4.3288
03/04/2018,3.5180,4.9525,3.3168,4.3354
04/04/2018,3.5280,4.9658,3.3238,4.3365
05/04/2018,3.5370,4.9672,3.3017,4.3375
09/04/2018,3.5320,4.9821,3.2976,4.3352
10/04/2018,3.5060,4.9698,3.2769,4.3346
11/04/2018,3.5180,4.9841,3.2933,4.3539
12/04/2018,3.5180,4.9988,3.2836,4.3362
13/04/2018,3.5060,5.0105,3.2579,4.3261
16/04/2018,3.5030,5.0085,3.2662,4.3296
17/04/2018,3.5270,5.0476,3.2948,4.3623
18/04/2018,3.5190,5.0277,3.2792,4.3486
20/04/2018,3.5230,4.9499,3.2765,4.3503
23/04/2018,3.5440,4.9468,3.2742,4.3342
24/04/2018,3.5610,4.9704,3.2721,4.3501
25/04/2018,3.5900,5.0079,3.2906,4.3754
