Country.of.Origin,2016,2017,2018,2019,2020,2021Q1
Austria,1.989437162,2.399587603,2.580120733,1.418734272,-6.590410425,-1.097523826
Belgium,1.266686409,1.621547198,1.787920078,1.784694379,-6.283929951,1.113512498
Canada,1.001394414,3.039880225,2.429547545,1.861415379,-5.402798553,1.382575499
China,6.848762205,6.947200793,6.749773832,5.949714233,2.3,0.4
Czech Republic,2.53728452,5.168724304,3.198656101,2.313605202,-5.602303764,-0.346742006
Germany,2.229999868,2.601976005,1.267995232,0.555450888,-4.89654545,-1.806942557
Spain,3.03130133,2.973641191,2.430047145,1.950126894,-10.83894734,-0.435576069
France,1.095464404,2.291419994,1.792863927,1.50859403,-8.114907097,-0.111644664
United Kingdom,1.722385904,1.740309443,1.252590613,1.370814722,-9.790240362,-1.585958767
Hungary,2.139995712,4.316780987,5.399709209,4.641297075,-4.956748517,2.009985479
India,8.256305502,6.795383419,6.532989011,4.041554187,-7.964610411,2.11225
Italy,1.293462732,1.667859041,0.941737193,0.287449937,-8.871146348,0.137262645
Japan,0.521944455,2.168290737,0.323207338,0.270308582,-4.83,-1.001344199
"Korea, Rep.",2.946881715,3.15963574,2.907403774,2.039348227,-0.957766224,1.740407308
Morocco,1.05985639,4.248949211,3.148502644,2.481905132,-7.117232169,0.7
Mexico,2.630532425,2.113129135,2.194992049,-0.054527928,-8.239473277,0.762320643
Netherlands,2.191713719,2.910902513,2.360915095,1.677418368,-3.741328235,-0.776681777
Poland,3.141731229,4.83065457,5.353704746,4.540919514,-2.701709195,1.122177351
Portugal,2.019485396,3.506345285,2.849326461,2.488958606,-7.563616423,-3.183611239
Romania,4.702997747,7.319448529,4.474523775,4.127450998,-3.859373593,2.853103018
Serbia,3.338586765,2.101163847,4.495121293,4.24851344,-0.979714616,1.7
Slovak Republic,2.132727784,2.989520318,3.650123358,2.511588141,-4.754325341,-2.020333737
Slovenia,3.191852518,4.79354876,4.384501721,3.184341624,-5.532207845,1.446144763
Sweden,2.070593151,2.567924525,1.950022846,1.369856989,-2.817819572,0.844609173
Thailand,3.435157717,4.177681032,4.189585496,2.266433672,-6.087220285,0.2
Turkey,3.323084208,7.501997489,2.958966728,0.916534796,1.756650763,1.720003413
United States,1.711426774,2.332679395,2.996464352,2.161176515,-3.486139557,1.553380774
South Africa,0.39908793,1.414512626,0.78705557,0.152583317,-6.959604452,1.134325883
