semel_yevuan,shem_yevuan,sug_degem,tozeret_cd,tozeret_nm,degem_cd,degem_nm,shnat_yitzur,mehir,kinuy_mishari
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,652,7J0-SGH1A2,2016,254600,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,652,7J0-SGH1A2,2017,255300,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,665,7J0-SGH1B7,2016,317000,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,724,7HC-SGMHH7,2017,445000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,727,7HC-SGMHH9,2017,497500,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,736,7HC-SGBTF7,2017,308000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,736,7HC-SGBTF7,2018,288000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,739,7HC-SGJTH7,2018,430000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,739,7HC-SGJTH7,2017,420000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,744,7HC-SGMHH7,2017,445000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,744,7HC-SGMHH7,2018,430000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,749,7HC-SGB1E2,2017,288800,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,749,7HC-SGB1E2,2018,283200,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,768,7HC-SGJTF7,2018,355000,CARAVELLE
